route,xD,yD,xF,yF,tmja,tmja1,tmja2,tmja3,tmja4,tmja5
A0001,"653006,6","6867037,55","652899,42","6869409,49",174890.0,182791.0,195100.0,195100.0,195100.0,195100.0
A0001,"652899,42","6869409,49","652896,51","6869469,21",134000.0,134000.0,134000.0,134000.0,134000.0,134000.0
A0001,"652896,51","6869469,21","653176,46","6870095,57",134000.0,134000.0,134000.0,134000.0,134000.0,134000.0
A0001,"653176,46","6870095,57","653552,97","6870234,42",134000.0,134000.0,134000.0,134000.0,134000.0,134000.0
A0001,"653552,97","6870234,42","653980,05","6870405,69",134000.0,134000.0,134000.0,134000.0,134000.0,134000.0
A0001,"653980,05","6870405,69","654322,36","6870520,62",134000.0,134000.0,134000.0,134000.0,134000.0,134000.0
A0001,"654322,36","6870520,62","654547,05","6870570,75",134000.0,134000.0,134000.0,134000.0,134000.0,134000.0
A0001,"654547,05","6870570,75","654756,08","6870595,85",134000.0,134000.0,134000.0,134000.0,134000.0,134000.0
A0001,"654756,08","6870595,85","656726,57",6870935,123200.0,123200.0,123200.0,123200.0,123200.0,123200.0
A0001,"656726,57",6870935,"656822,64","6870968,37",169068.0,172939.0,170300.0,170305.0,168572.0,181034.0
A0001,"656822,64","6870968,37","658431,5","6871533,03",169068.0,172939.0,170300.0,170305.0,168572.0,181034.0
A0001,"658431,5","6871533,03","660506,36","6873091,67",177500.0,177500.0,177500.0,177521.0,176810.0,178954.0
A0001,"660506,36","6873091,67","661187,1","6873671,24",122500.0,122500.0,122500.0,122537.0,121321.0,134000.0
A0001,"661187,1","6873671,24","661472,38","6873954,21",122500.0,122500.0,122500.0,122537.0,121321.0,134000.0
A0001,"661472,38","6873954,21","662045,66","6874523,29",92700.0,92700.0,92700.0,92730.0,94600.0,94621.0
A0001,"662045,66","6874523,29","663161,05","6875630,58",,,,,,
A0001,"663161,05","6875630,58","665444,29","6878782,2",90600.0,90600.0,90600.0,90600.0,90572.0,89888.0
A0001,"665444,29","6878782,2","665966,61","6880317,6",,,,,,
A0001,"665966,61","6880317,6","666035,68","6880520,91",98778.0,98345.0,95947.0,97103.0,98941.0,97206.0
A0001,"666035,68","6880520,91","667209,16","6887482,91",98778.0,98345.0,95947.0,97103.0,98941.0,97206.0
A0001,"667209,16","6887482,91","667345,96","6890249,01",85925.0,85464.0,83381.0,84604.0,86020.0,84670.0
A0001,"667345,96","6890249,01","667686,98","6891811,72",85925.0,85464.0,83381.0,84604.0,86020.0,84670.0
A0001,"667686,98","6891811,72","671659,18","6900723,98",83341.0,83161.0,81190.0,82040.0,83811.0,82552.0
A0001,"671659,18","6900723,98","672898,32","6901829,46",59675.0,59892.0,58761.0,58898.0,60713.0,60275.0
A0001,"672898,32","6901829,46","677122,46","6906581,73",65279.0,65297.0,63942.0,64068.0,65953.0,65354.0
A0001,"677122,46","6906581,73","677153,63","6912926,46",65279.0,65297.0,63942.0,64068.0,65953.0,65354.0
A0001,"677153,63","6912926,46","677266,69","6913453,96",65279.0,65297.0,63942.0,64068.0,65953.0,65354.0
A0001,"677266,69","6913453,96","678037,69","6921956,81",58294.0,58274.0,56840.0,56985.0,58073.0,57754.0
A0001,"678037,69","6921956,81","679798,6","6935804,41",54422.0,54464.0,53414.0,53671.0,55053.0,54719.0
A0001,"679798,6","6935804,41","682330,82","6946951,22",54809.0,54772.0,53623.0,53879.0,55230.0,54775.0
A0001,"682330,82","6946951,22","683521,06","6956096,26",54809.0,54772.0,53623.0,53879.0,55230.0,54775.0
A0001,"683521,06","6956096,26","687952,35","6972646,77",52059.0,52135.0,51075.0,51366.0,52706.0,52390.0
A0001,"687952,35","6972646,77","688279,75","6975587,31",63063.0,62518.0,60954.0,61181.0,62659.0,62011.0
A0001,"688279,75","6975587,31","690053,14","6985652,09",63394.0,62693.0,61172.0,61324.0,62672.0,62035.0
A0001,"690053,14","6985652,09","691300,52","6990418,63",64024.0,63264.0,61703.0,61863.0,63286.0,62607.0
A0001,"691300,52","6990418,63","691699,49","6992566,8",41764.0,41524.0,40358.0,40438.0,41637.0,41320.0
A0001,"691699,49","6992566,8","690810,76","7000322,77",41764.0,41524.0,40358.0,40438.0,41637.0,41320.0
A0001,"690810,76","7000322,77","690643,76","7019125,54",43176.0,42927.0,41708.0,41788.0,43032.0,42676.0
A0001,"690643,76","7019125,54","692273,23","7023135,59",44407.0,44105.0,42870.0,42939.0,44097.0,43648.0
A0001,"692273,23","7023135,59","692876,07","7024098,54",45760.0,45248.0,43975.0,43951.0,45417.0,45008.0
A0001,"692876,07","7024098,54","694420,66","7026227,86",45760.0,45248.0,43975.0,43951.0,45417.0,45008.0
A0001,"694420,66","7026227,86","698753,15","7032871,8",69274.0,68688.0,68577.0,68525.0,70878.0,69600.0
A0001,"698753,15","7032871,8","698814,6","7033658,95",,,,,,
A0001,"698814,6","7033658,95","698831,14","7033865,91",,,,,,
A0001,"698831,14","7033865,91","698351,8","7037530,5",,,,,,
A0001,"698351,8","7037530,5","699289,39","7043597,96",0.0,111418.0,101579.0,107812.0,109190.0,109873.0
A0001,"699289,39","7043597,96","703971,8","7049726,25",0.0,0.0,109654.0,99706.0,0.0,0.0
A0001,"703971,8","7049726,25","706525,53","7054172,1",0.0,0.0,147043.0,139636.0,0.0,0.0
A0001,"706525,53","7054172,1","707044,71","7055012,9",0.0,0.0,147043.0,139636.0,0.0,0.0
A0001,"707044,71","7055012,9","707336,8","7055887,5",0.0,0.0,147043.0,139636.0,0.0,0.0
A0001,"707336,8","7055887,5","706946,6","7056584,16",0.0,0.0,180839.0,176079.0,0.0,0.0
A0001,"706946,6","7056584,16","706039,9","7057538,33",0.0,0.0,180839.0,176079.0,0.0,0.0
A0001,"706039,9","7057538,33","705842,13","7058251,7",0.0,0.0,180839.0,176079.0,0.0,0.0
A0001A,"706972,74","7056541,17","707662,24","7055847,86",0.0,0.0,0.0,0.0,0.0,0.0
A0001A,"707662,24","7055847,86","707804,17","7055831,63",0.0,0.0,0.0,0.0,0.0,0.0
A0002,"691468,61","6990871,19","693370,6","6993152,82",22259.0,21738.0,21343.0,21424.0,21646.0,21286.0
A0002,"693370,6","6993152,82","694311,12","6993756,09",22259.0,21738.0,21343.0,21424.0,21646.0,21286.0
A0002,"694311,12","6993756,09","694644,11","6993988,07",22259.0,21738.0,21343.0,21424.0,21646.0,21286.0
A0002,"694644,11","6993988,07","709096,78","7005129,89",22259.0,21738.0,21343.0,21424.0,21646.0,21286.0
A0002,"709096,78","7005129,89","709125,65","7005156,86",28910.0,28194.0,27733.0,27737.0,28166.0,27606.0
A0002,"709125,65","7005156,86","713259,08","7008862,57",28910.0,28194.0,27733.0,27737.0,28166.0,27606.0
A0002,"713259,08","7008862,57","722731,21","7017071,97",29737.0,28983.0,28499.0,28524.0,29068.0,28461.0
A0002,"722731,21","7017071,97","722957,28","7017335,1",,,,,,
A0002,"722957,28","7017335,1","725631,85","7021478,1",45596.0,44871.0,43543.0,43478.0,44697.0,43511.0
A0002,"725631,85","7021478,1","729332,68","7024322,65",30549.0,0.0,29194.0,29331.0,30143.0,29268.0
A0002,"729332,68","7024322,65","734683,7","7027134,79",61351.0,0.0,58589.0,58481.0,60121.0,58524.0
A0002,"734683,7","7027134,79","735229,93","7027021,57",0.0,0.0,0.0,0.0,0.0,0.0
A0002,"735229,93","7027021,57","736082,93","7026803,73",0.0,0.0,0.0,0.0,0.0,0.0
A0002,"736082,93","7026803,73","736589,81","7026721,79",0.0,0.0,0.0,0.0,0.0,0.0
A0002,"736589,81","7026721,79","739551,72","7026628,72",94835.0,0.0,0.0,90321.0,91304.0,88436.0
A0002,"739551,72","7026628,72","747584,18","7038121,26",38988.0,0.0,0.0,37132.0,37536.0,36360.0
A0003,"656905,33","6862885,42","658790,07","6863942,66",160000.0,160048.0,163300.0,163330.0,167852.0,163623.0
A0003,"658790,07","6863942,66","659114,41","6864178,5",164800.0,164783.0,163800.0,163842.0,168704.0,164121.0
A0003,"659114,41","6864178,5","660895,34","6864995,05",164800.0,164783.0,163800.0,163842.0,168704.0,164121.0
A0003,"660895,34","6864995,05","661092,64","6865018,94",164800.0,164783.0,163800.0,163842.0,168704.0,164121.0
A0003,"661092,64","6865018,94","661319,11","6866075,76",118500.0,118500.0,118500.0,118494.0,99200.0,99200.0
A0003,"661319,11","6866075,76","661360,23","6867616,75",118500.0,118500.0,118500.0,118494.0,99200.0,99200.0
A0003,"661360,23","6867616,75","661985,77","6870284,85",83900.0,83934.0,159900.0,159866.0,159000.0,159000.0
A0003,"661985,77","6870284,85","661515,56","6872453,47",156400.0,156400.0,156400.0,156400.0,156400.0,156400.0
